Time of Arrival: 3.51253 ns
Time of Arrival: 3.52148 ns
Time of Arrival: 3.513 ns
Time of Arrival: 3.51741 ns
Time of Arrival: 3.5131 ns
Time of Arrival: 3.51261 ns
Time of Arrival: 3.51794 ns
Time of Arrival: 3.51692 ns
Time of Arrival: 3.51192 ns
Time of Arrival: 3.51843 ns
Time of Arrival: 3.51421 ns
Time of Arrival: 3.51248 ns
Time of Arrival: 3.51627 ns
Time of Arrival: 3.51286 ns
Time of Arrival: 3.51236 ns
Time of Arrival: 3.51145 ns
Time of Arrival: 3.5171 ns
Time of Arrival: 3.51547 ns
Time of Arrival: 3.51346 ns
Time of Arrival: 3.51492 ns
Time of Arrival: 3.51454 ns
Time of Arrival: 3.51913 ns
Time of Arrival: 3.51146 ns
Time of Arrival: 3.51594 ns
Time of Arrival: 3.52011 ns
Time of Arrival: 3.51768 ns
Time of Arrival: 3.51342 ns
Time of Arrival: 3.51673 ns
Time of Arrival: 3.51514 ns
Time of Arrival: 3.51204 ns
Time of Arrival: 3.51635 ns
Time of Arrival: 3.52028 ns
Time of Arrival: 3.51704 ns
Time of Arrival: 3.5173 ns
Time of Arrival: 3.51578 ns
Time of Arrival: 3.51307 ns
Time of Arrival: 3.51333 ns
Time of Arrival: 3.51375 ns
Time of Arrival: 3.51602 ns
Time of Arrival: 3.51414 ns
Time of Arrival: 3.51684 ns
Time of Arrival: 3.51232 ns
Time of Arrival: 3.51529 ns
Time of Arrival: 3.51554 ns
Time of Arrival: 3.51373 ns
Time of Arrival: 3.51293 ns
Time of Arrival: 3.51631 ns
Time of Arrival: 3.51212 ns
Time of Arrival: 3.5125 ns
Time of Arrival: 3.51941 ns
Time of Arrival: 3.51181 ns
Time of Arrival: 3.51365 ns
Time of Arrival: 3.51531 ns
Time of Arrival: 3.51649 ns
Time of Arrival: 3.51887 ns
Time of Arrival: 3.51207 ns
Time of Arrival: 3.51571 ns
Time of Arrival: 3.51465 ns
Time of Arrival: 3.51221 ns
Time of Arrival: 3.51855 ns
Time of Arrival: 3.51443 ns
Time of Arrival: 3.51234 ns
Time of Arrival: 3.51856 ns
Time of Arrival: 3.51471 ns
Time of Arrival: 3.51608 ns
Time of Arrival: 3.51661 ns
Time of Arrival: 3.51419 ns
Time of Arrival: 3.51611 ns
Time of Arrival: 3.51768 ns
Time of Arrival: 3.51685 ns
Time of Arrival: 3.51547 ns
Time of Arrival: 3.51276 ns
Time of Arrival: 3.51455 ns
Time of Arrival: 3.51413 ns
Time of Arrival: 3.51904 ns
Time of Arrival: 3.51728 ns
Time of Arrival: 3.51437 ns
Time of Arrival: 3.51445 ns
Time of Arrival: 3.5139 ns
Time of Arrival: 3.51915 ns
Time of Arrival: 3.51453 ns
Time of Arrival: 3.51892 ns
Time of Arrival: 3.52049 ns
Time of Arrival: 3.51755 ns
Time of Arrival: 3.51706 ns
Time of Arrival: 3.51329 ns
Time of Arrival: 3.51636 ns
Time of Arrival: 3.5136 ns
Time of Arrival: 3.51326 ns
Time of Arrival: 3.51968 ns
Time of Arrival: 3.52051 ns
Time of Arrival: 3.51703 ns
Time of Arrival: 3.51408 ns
Time of Arrival: 3.51224 ns
Time of Arrival: 3.51191 ns
Time of Arrival: 3.51485 ns
Time of Arrival: 3.5176 ns
Time of Arrival: 3.51307 ns
Time of Arrival: 3.51818 ns
Time of Arrival: 3.51568 ns
Time of Arrival: 3.51195 ns
Time of Arrival: 3.51653 ns
Time of Arrival: 3.5129 ns
Time of Arrival: 3.51755 ns
Time of Arrival: 3.51586 ns
Time of Arrival: 3.51796 ns
Time of Arrival: 3.51163 ns
Time of Arrival: 3.51953 ns
Time of Arrival: 3.51586 ns
Time of Arrival: 3.51167 ns
Time of Arrival: 3.5115 ns
Time of Arrival: 3.51222 ns
Time of Arrival: 3.51499 ns
Time of Arrival: 3.51733 ns
Time of Arrival: 3.51538 ns
Time of Arrival: 3.51455 ns
Time of Arrival: 3.5149 ns
